"round(pop,2)","dia"
0.48,1247
1.09,1536
1.60,1826
2.53,2115
4.16,2405
5.69,2694
6.94,2984
8.15,3274
9.75,3563
11.73,3853
13.78,4142
16.89,4432
20.90,4722
24.56,5011
29.16,5301
34.16,5590
39.27,5880
45.98,6170
52.83,6459
59.34,6749
67.32,7038
75.27,7328
84.70,7618
95.05,7907
105.33,8197
116.88,8486
128.97,8776
144.01,9065
160.02,9355
178.18,9645
200.55,9934
227.30,10224
255.54,10513
286.15,10803
320.07,11093
366.04,11382
444.05,11672
539.61,11961
632.15,12251
722.21,12541
809.29,12830
898.66,13120
994.84,13409
1085.72,13699
1165.48,13989
1246.35,14278
1336.40,14568
1429.57,14857
1535.26,15147
1643.52,15436
1738.10,15726
1837.15,16016
1956.02,16305
2080.75,16595
2200.60,16884
2324.76,17174
2454.14,17464
2593.22,17753
2754.73,18043
2926.97,18332
3100.71,18622
3272.39,18912
3444.76,19201
3599.78,19491
3755.11,19780
3898.17,20070
4041.25,20360
4209.47,20649
4407.00,20939
4602.94,21228
4791.85,21518
4980.66,21807
5186.84,22097
5411.30,22387
5634.12,22676
5868.90,22966
6108.68,23255
6324.42,23545
6537.98,23835
6731.38,24124
6936.22,24414
7170.12,24703
7438.78,24993
7722.03,25283
8052.71,25572
8554.90,25862
9170.70,26151
9918.42,26441
10766.05,26731
11687.98,27020
12770.53,27310
14131.50,27599
15705.72,27889
18051.67,28178
21726.69,28468
26932.61,28758
33777.32,29916
43650.08,32409
64210.67,34902
122791.41,37395
