"blackm","blackf","state","stateid","year","CUSTOTM","CUSTOTF","JURTOTM","JURTOTF","TOTRACEM","TOTRACEF","state","total_male","total_female","black_male","black_female"
17550,910,"AL",1,2010,24662,1659,29261,2503,28846,2446,1,2320188,2459548,582480,668831
491,37,"AK",2,2010,3241,530,4782,609,4953,648,2,369628,340603,12899,10364
4889,412,"AZ",4,2010,31088,3686,36521,3688,36444,3686,4,3175823,3216194,135780,123228
6903,282,"AR",5,2010,13094,1098,15040,1164,15040,1164,5,1431637,1484281,213744,236151
44956,2819,"CA",6,2010,153047,9774,155104,9958,155104,9958,6,18517830,18736126,1136385,1162687
4083,326,"CO",8,2010,16235,2019,20763,2052,20763,2052,8,2520662,2508534,106715,95022
7664,390,"CT",9,2010,16715,1031,18075,1246,18075,1246,9,1739614,1834483,172664,189632
3600,162,"DE",10,2010,5931,447,6149,466,5931,447,10,434939,462995,90591,101223
-8,-8,"DC",11,2010,-8,-8,-8,-8,-8,-8,11,284222,317501,138512,166613
48473,2493,"FL",12,2010,84886,5388,96956,7350,96956,7350,12,9189355,9611955,1443269,1556593
28915,1814,"GA",13,2010,43983,3578,52598,3834,45355,3809,13,4729171,4958482,1380705,1569730
233,17,"HI",15,2010,2810,553,5184,728,5184,728,15,681243,679058,13266,8158
169,12,"ID",16,2010,4262,737,6621,810,6621,810,16,785324,782258,5746,4064
26457,1341,"IL",17,2010,45496,2922,45496,2922,45496,2922,17,6292276,6538356,873686,992728
9687,593,"IN",18,2010,21998,2458,25522,2506,25522,2506,18,3189737,3294065,283552,307845
2266,159,"IA",19,2010,8674,783,8675,780,8675,780,19,1508319,1538036,47141,42007
2828,165,"KS",20,2010,8422,633,8428,623,8428,623,20,1415408,1437710,85849,82015
5165,273,"KY",21,2010,11071,1303,18406,2138,18406,2138,21,2134952,2204415,166932,170588
26294,1227,"LA",22,2010,15009,1078,37037,2408,37037,2408,22,2219292,2314080,690640,761756
142,5,"ME",23,2010,1800,154,1988,166,1988,166,23,650056,678305,8813,6894
16082,542,"MD",24,2010,21811,975,21686,959,21686,959,24,2791762,2981790,790646,909652
3081,125,"MA",25,2010,10397,765,10547,766,10547,772,25,3166628,3381001,209693,224705
22971,827,"MI",26,2010,42244,1869,42296,1869,42244,1869,26,4848114,5035526,665214,735148
3346,128,"MN",27,2010,8786,611,9158,638,9158,638,27,2632132,2671793,139817,134595
13351,678,"MS",28,2010,9921,1292,19542,1525,19542,1525,28,1441240,1526057,517058,581327
11397,572,"MO",29,2010,28120,2457,28163,2460,28163,2460,29,2933477,3055450,329174,364217
100,3,"MT",30,2010,1452,183,3291,425,3291,425,30,496667,492748,2623,1404
1117,88,"NE",31,2010,4182,426,4176,411,4176,411,31,906296,920045,42138,40747
3388,223,"NV",32,2010,11292,900,11689,964,11689,963,32,1363616,1336935,110730,107896
162,9,"NH",33,2010,2444,173,2560,201,2560,201,33,649394,667076,8480,6555
14786,613,"NJ",34,2010,20801,846,23871,1136,23871,1136,34,4279600,4512294,565706,639120
472,46,"NM",35,2010,3752,2,6161,602,6059,600,35,1017421,1041758,23468,19082
27658,970,"NY",36,2010,54202,2218,54438,2218,54438,2218,36,9377147,10000955,1420964,1652836
21764,1059,"NC",37,2010,37533,2842,37563,2819,37297,2819,37,4645492,4889991,958903,1089725
102,3,"ND",38,2010,1243,173,1308,179,1308,179,38,339864,332727,4807,3153
23247,1152,"OH",39,2010,44783,3888,47720,3992,47720,3992,39,5632156,5904348,670412,737269
6912,585,"OK",40,2010,15836,2292,23703,2549,22408,2504,40,1856977,1894374,138226,139418
1348,83,"OR",41,2010,12753,1106,13745,1131,13383,1131,41,1896002,1935072,37486,31720
24493,854,"PA",42,2010,44544,2528,48552,2712,48552,2712,42,6190363,6512016,657938,719751
922,42,"RI",44,2010,2981,178,3139,218,3153,218,44,508400,544167,30162,30027
14658,638,"SC",45,2010,21530,1462,22105,1473,22105,1473,45,2250101,2375263,605351,685333
181,6,"SD",46,2010,3019,369,3023,411,3023,411,46,407381,406799,6174,4033
12425,627,"TN",47,2010,13737,1180,25345,2106,25345,2106,47,3093504,3252601,497856,559459
57752,4823,"TX",48,2010,130736,10351,159298,14351,159298,14351,48,12472280,12673281,1438179,1541419
434,20,"UT",49,2010,4900,542,6199,608,6199,608,49,1388317,1375568,16871,12416
199,8,"VT",50,2010,1368,149,1930,149,1930,149,50,308206,317535,3517,2760
21551,1259,"VA",51,2010,27986,2365,34790,2848,34570,2840,51,3925983,4075041,740150,811249
3259,181,"WA",53,2010,15734,1294,16808,1427,16808,1427,53,3349707,3374833,129528,110514
799,57,"WV",54,2010,4576,496,5956,725,5956,725,54,913586,939408,33963,29161
9265,345,"WI",55,2010,20732,1251,21465,1264,21460,1264,55,2822400,2864586,176501,182647
91,3,"WY",56,2010,1671,204,1881,231,1881,231,56,287437,276189,2866,1882
558078,30006,"ST",60,2010,1137490,85218,1304714,99318,1294644,99204,NULL,NULL,NULL,NULL,NULL
635808,33721,"US",70,2010,1298867,96979,1500936,112867,1490866,112753,NULL,NULL,NULL,NULL,NULL
77730,3715,"FE",99,2010,161377,11761,196222,13549,196222,13549,NULL,NULL,NULL,NULL,NULL
