"state","id","inc_1880","inc_1890","inc_1910","inc_1930","inc_1940","inc_1950","inc_1950_2","inc_1960","inc_1980","inc_1980_2","inc_1990","inc_2000","inc_2010","inc_1970"
"Maine",23,33,26,27,54,72,77,81,86,56,72,124,131,162,52
"New Hampshire",33,44,31,34,27,53,45,44,25,28,35,121,182,210,33
"Vermont",50,43,27,48,104,95,84,69,79,69,94,186,278,332,67
"Massachusetts",25,61,68,58,50,69,78,51,74,44,55,139,169,173,60
"Rhode Island",44,39,35,78,58,43,49,37,41,81,86,238,313,319,51
"Connecticut",9,40,46,54,75,67,81,51,76,143,138,319,538,540,117
"New York",36,124,136,78,65,114,107,103,104,119,124,305,370,292,74
"New Jersey",34,93,108,73,71,88,89,83,75,85,80,272,353,284,78
"Pennsylvania",42,43,45,46,55,68,73,71,65,79,69,187,300,403,58
"Ohio",39,40,45,54,132,127,130,115,122,121,125,293,403,448,90
"Indiana",18,63,65,88,123,127,176,120,174,123,122,229,330,432,122
"Illinois",17,60,54,46,104,144,107,90,80,108,104,240,364,377,70
"Michigan",26,72,53,57,147,146,164,134,131,153,163,368,479,447,94
"Wisconsin",55,23,31,41,66,85,59,59,68,86,84,152,386,399,76
"Minnesota",27,32,33,53,92,93,68,63,85,70,49,72,126,184,57
"Iowa",19,34,33,43,100,101,80,79,83,69,85,143,272,310,59
"Missouri",29,59,63,79,109,111,118,85,123,116,116,291,491,511,88
"North Dakota",38,,34,37,48,55,54,38,55,49,39,76,168,220,31
"South Dakota",46,,28,36,67,62,67,69,84,156,92,192,346,421,58
"Nebraska",31,57,37,40,82,81,88,86,90,83,92,152,227,251,66
"Kansas",20,69,64,75,148,135,204,104,246,209,105,233,310,317,178
"Delaware",10,,,,,145,,49,57,223,248,518,880,735,47
"Maryland",24,73,66,129,140,161,180,168,168,177,183,372,443,391,161
"Virginia",51,50,70,104,110,155,262,138,288,161,166,283,425,469,140
"West Virginia",54,43,36,88,126,141,161,144,156,115,64,87,213,360,92
"North Carolina",37,58,88,32,70,120,214,108,242,281,263,276,387,422,147
"South Carolina",45,26,70,56,39,67,105,73,192,230,251,495,541,508,103
"Georgia",13,,94,101,,,155,142,285,214,222,344,537,581,198
"Florida",12,,96,172,108,192,186,143,147,183,211,341,444,554,127
"Kentucky",21,49,66,89,120,159,132,112,111,146,98,244,368,473,116
"Tennessee",47,85,84,83,102,111,92,84,84,138,153,212,389,432,85
"Alabama",1,31,72,158,,228,157,146,169,93,168,387,593,664,102
"Mississippi",28,65,33,94,,,99,100,93,96,155,325,711,709,76
"Arkansas",5,70,74,50,62,98,79,80,106,129,127,311,445,555,71
"Louisiana",22,58,77,121,101,125,104,99,117,176,211,441,788,868,144
"Oklahoma",40,,,67,154,168,151,108,175,170,158,390,671,698,163
"Texas",48,82,148,90,87,95,105,84,134,216,208,293,796,688,117
"District of Columbia",11,,,,,241,,191,,219,494,1643,1811,,
